val,name
0,"a,bs"
1,"a,bs"
2,"a,bs"
3,"a,bs"
4,"a,bs"
5,"a,bs"
6,"a,bs"
7,"a,bs"
8,"a,bs"
9,"a,bs"
10,"a,bs"
11,"a,bs"
12,"a,bs"
13,"a,bs"
14,"a,bs"
15,"a,bs"
16,"a,bs"
17,"a,bs"
18,"a,bs"
19,"a,bs"
20,"a,bs"
21,"a,bs"
22,"a,bs"
23,"a,bs"
24,"a,bs"
25,"a,bs"
26,"a,bs"
27,"a,bs"
28,"a,bs"
29,"a,bs"
30,"a,bs"
31,"a,bs"
32,"a,bs"
33,"a,bs"
34,"a,bs"
35,"a,bs"
36,"a,bs"
37,"a,bs"
38,"a,bs"
39,"a,bs"
40,"a,bs"
41,"a,bs"
42,"a,bs"
43,"a,bs"
44,"a,bs"
45,"a,bs"
46,"a,bs"
47,"a,bs"
48,"a,bs"
49,"a,bs"
50,"a,bs"
51,"a,bs"
52,"a,bs"
53,"a,bs"
54,"a,bs"
55,"a,bs"
56,"a,bs"
57,"a,bs"
58,"a,bs"
59,"a,bs"
60,"a,bs"
61,"a,bs"
62,"a,bs"
63,"a,bs"
64,"a,bs"
65,"a,bs"
66,"a,bs"
67,"a,bs"
68,"a,bs"
69,"a,bs"
70,"a,bs"
71,"a,bs"
72,"a,bs"
73,"a,bs"
74,"a,bs"
75,"a,bs"
76,"a,bs"
77,"a,bs"
78,"a,bs"
79,"a,bs"
80,"a,bs"
81,"a,bs"
82,"a,bs"
83,"a,bs"
84,"a,bs"
85,"a,bs"
86,"a,bs"
87,"a,bs"
88,"a,bs"
89,"a,bs"
90,"a,bs"
91,"a,bs"
92,"a,bs"
93,"a,bs"
94,"a,bs"
95,"a,bs"
96,"a,bs"
97,"a,bs"
98,"a,bs"
99,"a,bs"
